City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,San Patricio,US,2022-05-09 20:14:41,28.017,-97.5169,91.26,54,0,21.45
137,Te Anau,NZ,2022-05-09 20:14:42,-45.4167,167.7167,41.97,94,16,2.24
138,Tomaszow Lubelski,PL,2022-05-09 20:14:42,50.4477,23.4162,46.15,71,14,8.3
139,Umea,SE,2022-05-09 20:14:43,63.8284,20.2597,40.93,87,0,4.61
140,Warrington,GB,2022-05-09 20:14:43,53.3925,-2.5802,61.86,70,0,18.41
141,Ancud,CL,2022-05-09 20:14:44,-41.8697,-73.8203,51.69,68,82,2.46
142,Iquitos,PE,2022-05-09 20:14:44,-3.7481,-73.2472,80.64,83,75,4.61
143,Hasaki,JP,2022-05-09 20:14:45,35.7333,140.8333,54.0,81,100,17.63
144,Sofiyivka,UA,2022-05-09 20:14:45,48.0493,33.8746,48.79,69,13,11.86
145,Bahia Honda,CU,2022-05-09 20:14:46,22.9036,-83.1592,81.86,72,51,10.16
146,Longyearbyen,SJ,2022-05-09 20:14:46,78.2186,15.6401,17.44,62,40,12.66
147,Airai,TL,2022-05-09 20:14:47,-8.9266,125.4092,57.36,75,97,2.39
148,High Rock,BS,2022-05-09 20:14:47,26.6208,-78.2833,78.82,68,63,16.22
149,Lompoc,US,2022-05-09 20:13:47,34.6391,-120.4579,71.56,50,0,23.02
150,Carnoustie,GB,2022-05-09 20:14:47,56.5014,-2.7091,57.25,82,75,20.71
151,Masallatah,LY,2022-05-09 20:14:48,32.6167,14.0,60.37,81,5,3.94
152,Portland,US,2022-05-09 20:10:20,45.5234,-122.6762,55.98,63,75,5.99
153,Shirgaon,IN,2022-05-09 20:14:48,19.7,72.7,83.01,78,45,10.74
154,Nelson Bay,AU,2022-05-09 20:14:49,-32.7167,152.15,60.01,96,84,1.03
155,Half Moon Bay,US,2022-05-09 20:14:49,37.4636,-122.4286,63.41,52,0,17.27
156,Tiksi,RU,2022-05-09 20:14:50,71.6872,128.8694,8.74,91,47,10.6
157,Huaiyin,CN,2022-05-09 20:14:50,33.5886,119.0192,54.01,87,100,5.08
158,Fernley,US,2022-05-09 20:12:53,39.608,-119.2518,48.67,38,100,14.0
159,Xining,CN,2022-05-09 20:14:51,36.6167,101.7667,52.45,59,100,3.29
160,Motala,SE,2022-05-09 20:14:51,58.5371,15.0365,53.8,65,49,7.27
161,Pedernales,DO,2022-05-09 20:14:52,18.0384,-71.744,85.93,58,2,4.18
162,Tynda,RU,2022-05-09 20:14:52,55.1667,124.7167,34.68,80,100,3.47
163,Geraldton,AU,2022-05-09 20:13:49,-28.7667,114.6,59.41,94,99,8.05
164,Seryshevo,RU,2022-05-09 20:14:52,51.0933,128.3786,55.99,32,93,18.21
165,Talnakh,RU,2022-05-09 20:14:53,69.4865,88.3972,31.15,97,100,12.48
166,Port Hawkesbury,CA,2022-05-09 20:14:53,45.6169,-61.3485,55.62,54,100,7.56
167,Waingapu,ID,2022-05-09 20:12:28,-9.6567,120.2641,77.0,83,48,8.46
168,Storsteinnes,NO,2022-05-09 20:14:54,69.2408,19.2344,38.05,100,100,3.42
169,Voh,NC,2022-05-09 20:14:54,-20.9667,164.7,71.06,81,76,4.09
170,Nioro,GM,2022-05-09 20:14:55,13.35,-15.75,85.84,39,93,14.41
171,Ust-Ilimsk,RU,2022-05-09 20:14:55,58.0006,102.6619,25.16,70,88,2.08
172,Marataizes,BR,2022-05-09 20:14:56,-21.0433,-40.8244,73.98,63,88,8.81
173,Moshupa,BW,2022-05-09 20:14:56,-24.7782,25.4155,58.82,41,0,5.12
174,Evensk,RU,2022-05-09 20:12:21,61.95,159.2333,31.06,82,100,8.99
175,Vostok,RU,2022-05-09 20:14:57,46.4856,135.8833,40.57,66,2,6.87
176,Bilibino,RU,2022-05-09 20:14:57,68.0546,166.4372,25.36,83,100,3.24
177,Arroyo,ES,2022-05-09 20:14:57,41.6096,-4.7969,68.04,48,0,5.75
178,Najran,SA,2022-05-09 20:14:58,17.4924,44.1277,81.41,19,0,5.39
179,Kenai,US,2022-05-09 20:14:58,60.5544,-151.2583,48.29,42,20,18.41
180,Guerrero Negro,MX,2022-05-09 20:10:49,27.9769,-114.0611,66.69,56,0,21.12
181,Mandalgovi,MN,2022-05-09 20:14:59,45.7625,106.2708,35.96,43,100,10.71
182,Norman Wells,CA,2022-05-09 20:16:00,65.282,-126.8329,42.84,39,20,18.41
183,Chake Chake,TZ,2022-05-09 20:16:00,-5.2459,39.7666,78.6,83,13,10.51
184,Toamasina,MG,2022-05-09 20:16:00,-18.1667,49.3833,73.4,94,20,3.44
185,Port Elizabeth,ZA,2022-05-09 20:11:02,-33.918,25.5701,61.32,89,15,3.0
186,Araouane,ML,2022-05-09 20:16:01,18.9048,-3.5265,85.73,5,0,9.73
187,Acapulco,MX,2022-05-09 20:16:01,16.8634,-99.8901,85.82,66,20,10.36
188,Ahipara,NZ,2022-05-09 20:16:02,-35.1667,173.1667,61.84,82,12,10.6
189,Camana,PE,2022-05-09 20:16:02,-16.6228,-72.7111,68.23,74,67,9.48
190,Port Lincoln,AU,2022-05-09 20:16:03,-34.7333,135.8667,58.57,74,0,5.73
191,Marawi,PH,2022-05-09 20:16:03,7.9986,124.2928,70.2,92,98,0.94
192,Tilichiki,RU,2022-05-09 20:16:04,60.4667,166.1,30.83,86,100,1.5
193,Jaisalmer,IN,2022-05-09 20:14:08,26.9147,70.9181,88.39,28,0,15.97
194,Boa Esperanca,BR,2022-05-09 20:16:05,-21.09,-45.5658,70.43,71,19,3.62
195,Impfondo,CG,2022-05-09 20:16:05,1.6381,18.0667,74.41,86,90,3.87
196,Kununurra,AU,2022-05-09 20:16:05,-15.7667,128.7333,71.58,37,6,5.75
197,Saint Anthony,US,2022-05-09 20:16:06,45.0205,-93.218,76.84,65,100,20.71
198,Betare Oya,CM,2022-05-09 20:16:06,5.6,14.0833,70.61,91,98,1.59
199,Turukhansk,RU,2022-05-09 20:16:07,65.8167,87.9833,31.5,87,99,12.62
200,Oksbol,DK,2022-05-09 20:16:07,55.6268,8.2876,53.91,74,100,8.79
201,Usinsk,RU,2022-05-09 20:16:08,65.9939,57.5281,27.16,93,100,8.19
202,Ketchikan,US,2022-05-09 20:16:08,55.3422,-131.6461,61.27,39,0,11.5
203,Coos Bay,US,2022-05-09 20:15:55,43.3665,-124.2179,50.99,89,100,12.66
204,Katherine,AU,2022-05-09 20:16:09,-14.4667,132.2667,75.52,31,11,10.36
205,Shuyskoye,RU,2022-05-09 20:16:09,59.3736,41.0305,35.85,76,55,6.58
206,Hobyo,SO,2022-05-09 20:16:10,5.3505,48.5268,84.0,69,88,20.85
207,Pierre,US,2022-05-09 20:11:45,44.3683,-100.351,59.86,74,100,26.46
208,Labuhan,ID,2022-05-09 20:16:10,-6.8844,112.2051,80.11,87,100,6.73
209,Touros,BR,2022-05-09 20:16:11,-5.1989,-35.4608,77.94,86,21,14.76
210,Cherskiy,RU,2022-05-09 20:16:11,68.75,161.3,35.02,75,100,21.85
211,Apatity,RU,2022-05-09 20:16:12,67.5641,33.4031,32.67,85,100,6.6
212,Tabat,ID,2022-05-09 20:16:12,-2.635,115.2274,72.36,97,100,1.92
213,Chamalieres,FR,2022-05-09 20:16:13,45.7756,3.0631,61.52,63,0,0.0
214,Teya,RU,2022-05-09 20:16:13,60.3778,92.6267,16.7,98,60,0.63
215,Mahebourg,MU,2022-05-09 20:16:14,-20.4081,57.7,74.25,94,40,1.14
216,Mosquera,CO,2022-05-09 20:16:14,4.7059,-74.2302,64.49,63,40,9.22
217,Phan Thiet,VN,2022-05-09 20:16:15,10.9333,108.1,78.01,88,100,4.61
218,Chinsali,ZM,2022-05-09 20:16:15,-10.5414,32.0816,60.91,77,88,4.81
219,Aborlan,PH,2022-05-09 20:16:16,9.4352,118.5492,79.66,83,98,3.76
220,Tual,ID,2022-05-09 20:16:16,-5.6667,132.75,83.37,79,79,4.23
221,Port Keats,AU,2022-05-09 20:16:17,-14.25,129.55,74.86,41,35,13.09
222,Mount Gambier,AU,2022-05-09 20:16:17,-37.8333,140.7667,43.48,81,16,4.25
223,Otradnyy,RU,2022-05-09 20:16:18,53.376,51.3452,53.74,57,100,13.49
224,Zyryanka,RU,2022-05-09 20:16:18,65.75,150.85,34.59,79,100,4.41
225,Victoria,HK,2022-05-09 20:16:14,22.2855,114.1577,78.39,89,100,8.99
226,Novikovo,RU,2022-05-09 20:16:19,51.1537,37.8879,42.51,61,0,12.26
227,Kurilsk,RU,2022-05-09 20:16:19,45.2333,147.8833,40.64,75,100,8.86
228,Beringovskiy,RU,2022-05-09 20:16:20,63.05,179.3167,33.15,70,3,6.46
229,Ambon,ID,2022-05-09 20:17:20,-3.6954,128.1814,77.14,94,40,3.44
230,Lata,PT,2022-05-09 20:17:21,40.1629,-8.3327,60.93,69,81,3.18
231,Ternate,ID,2022-05-09 20:17:21,0.8,127.4,81.1,82,99,3.62
232,Tam Ky,VN,2022-05-09 20:17:22,15.5667,108.4833,76.5,93,96,2.89
233,Olafsvik,IS,2022-05-09 20:17:22,64.8945,-23.7142,39.67,84,100,19.64
234,Chuy,UY,2022-05-09 20:17:23,-33.6971,-53.4616,65.52,79,92,7.45
235,Kavieng,PG,2022-05-09 20:17:23,-2.5744,150.7967,82.69,78,99,17.18
236,Constitucion,CL,2022-05-09 20:17:24,-35.3333,-72.4167,61.23,78,100,10.58
237,Quatre Cocos,MU,2022-05-09 20:17:24,-20.2078,57.7625,74.08,83,26,8.03
238,Oranjemund,NA,2022-05-09 20:17:25,-28.55,16.4333,55.94,85,53,6.62
